Code,Region
AF,Southern Asia
AX,Northern Europe
AL,Southern Europe
DZ,Northern Africa
AS,Polynesia
AD,Southern Europe
AO,Middle Africa
AI,Caribbean
AQ,Northern America
AG,Caribbean
AR,South America
AM,Western Asia
AW,Caribbean
AU,Australia and New Zealand
AT,Western Europe
AZ,Western Asia
BS,Caribbean
BH,Western Asia
BD,Southern Asia
BB,Caribbean
BY,Eastern Europe
BE,Western Europe
BZ,Central America
BJ,Western Africa
BM,Northern America
BT,Southern Asia
BO,South America
BQ,Caribbean
BA,Southern Europe
BW,Southern Africa
BV,South America
BR,South America
IO,Eastern Africa
VG,Caribbean
BN,South-eastern Asia
BG,Eastern Europe
BF,Western Africa
BI,Eastern Africa
CV,Western Africa
KH,South-eastern Asia
CM,Middle Africa
CA,Northern America
KY,Caribbean
CF,Middle Africa
CC,Australia and New Zealand
CO,South America
KM,Eastern Africa
CG,Middle Africa
CK,Polynesia
CR,Central America
CI,Western Africa
HR,Southern Europe
CU,Caribbean
CW,Caribbean
CY,Western Asia
CZ,Eastern Europe
KP,Eastern Asia
CD,Middle Africa
DK,Northern Europe
DJ,Eastern Africa
DM,Caribbean
DO,Caribbean
EC,South America
EG,Northern Africa
SV,Central America
GQ,Middle Africa
ER,Eastern Africa
EE,Northern Europe
SZ,Southern Africa
ET,Eastern Africa
FK,South America
FO,Northern Europe
FJ,Melanesia
FI,Northern Europe
FR,Western Europe
GF,South America
PF,Polynesia
TF,Eastern Africa
GA,Middle Africa
GM,Western Africa
GE,Western Asia
DE,Western Europe
GH,Western Africa
GI,Southern Europe
GR,Southern Europe
GL,Northern America
GD,Caribbean
GP,Caribbean
GU,Micronesia
GT,Central America
GG,Northern Europe
GN,Western Africa
GW,Western Africa
GY,South America
HT,Caribbean
HM,Australia and New Zealand
VA,Southern Europe
HN,Central America
HU,Eastern Europe
TD,Middle Africa
CL,South America
CN,Eastern Asia
HK,Eastern Asia
MO,Eastern Asia
CX,Australia and New Zealand
IS,Northern Europe
IN,Southern Asia
ID,South-eastern Asia
IR,Southern Asia
IQ,Western Asia
IE,Northern Europe
IM,Northern Europe
IL,Western Asia
IT,Southern Europe
JM,Caribbean
JP,Eastern Asia
JE,Northern Europe
JO,Western Asia
KZ,Central Asia
KE,Eastern Africa
KI,Micronesia
KW,Western Asia
KG,Central Asia
LA,South-eastern Asia
LV,Northern Europe
LB,Western Asia
LS,Southern Africa
LR,Western Africa
LY,Northern Africa
LI,Western Europe
LT,Northern Europe
LU,Western Europe
MG,Eastern Africa
MW,Eastern Africa
MY,South-eastern Asia
MV,Southern Asia
ML,Western Africa
MT,Southern Europe
MH,Micronesia
MQ,Caribbean
MR,Western Africa
MU,Eastern Africa
YT,Eastern Africa
MX,Central America
FM,Micronesia
MC,Western Europe
MN,Eastern Asia
ME,Southern Europe
MS,Caribbean
MA,Northern Africa
MZ,Eastern Africa
MM,South-eastern Asia
,Southern Africa
NR,Micronesia
NP,Southern Asia
NL,Western Europe
NC,Melanesia
NZ,Australia and New Zealand
NI,Central America
NE,Western Africa
NG,Western Africa
NU,Polynesia
NF,Australia and New Zealand
MK,Southern Europe
MP,Micronesia
NO,Northern Europe
OM,Western Asia
PK,Southern Asia
PW,Micronesia
PA,Central America
PG,Melanesia
PY,South America
PE,South America
PH,South-eastern Asia
PN,Polynesia
PL,Eastern Europe
PT,Southern Europe
PR,Caribbean
QA,Western Asia
KR,Eastern Asia
MD,Eastern Europe
RE,Eastern Africa
RO,Eastern Europe
RU,Eastern Europe
RW,Eastern Africa
BL,Caribbean
SH,Western Africa
KN,Caribbean
LC,Caribbean
MF,Caribbean
PM,Northern America
VC,Caribbean
WS,Polynesia
SM,Southern Europe
ST,Middle Africa
SA,Western Asia
SN,Western Africa
RS,Southern Europe
SC,Eastern Africa
SL,Western Africa
SG,South-eastern Asia
SX,Caribbean
SK,Eastern Europe
SI,Southern Europe
SB,Melanesia
SO,Eastern Africa
ZA,Southern Africa
GS,South America
SS,Eastern Africa
ES,Southern Europe
LK,Southern Asia
PS,Western Asia
SD,Northern Africa
SR,South America
SJ,Northern Europe
SE,Northern Europe
CH,Western Europe
SY,Western Asia
TJ,Central Asia
TH,South-eastern Asia
TL,South-eastern Asia
TG,Western Africa
TK,Polynesia
TO,Polynesia
TT,Caribbean
TN,Northern Africa
TR,Western Asia
TM,Central Asia
TC,Caribbean
TV,Polynesia
UG,Eastern Africa
UA,Eastern Europe
AE,Western Asia
GB,Northern Europe
TZ,Eastern Africa
UM,Micronesia
US,Northern America
VI,Caribbean
UY,South America
UZ,Central Asia
VU,Melanesia
VE,South America
VN,South-eastern Asia
WF,Polynesia
EH,Northern Africa
YE,Western Asia
ZM,Eastern Africa
ZW,Eastern Africa
SUHH,Eastern Europe
XPI,Western Asia
CSHH,Eastern Europe
XYU,Southern Europe
XWG,Western Europe
DDDE,Western Europe
TW,Eastern Asia
NA,Southern Africa
YUCS,Southern Europe
VDVN,South-eastern Asia
CSXX,Eastern Europe
XKO,Southern Europe
XKV,Southern Europe
XWW,"Southern Asia, Northern Europe, Southern Europe, Northern Africa, Polynesia, Middle Africa, Caribbean, Northern America, South America, Western Asia, Australia and New Zealand, Western Europe, Eastern Europe, Central America, Western Africa, Southern Africa, Eastern Africa, South-eastern Asia, Eastern Asia, Melanesia, Micronesia, Central Asia"
XSA,"Caribbean, Northern America, South America, Central America"
XEU,"Southern Europe, Western Europe, Eastern Europe"
XAS,"Northern Africa, Middle Africa, Western Africa, Southern Africa, Eastern Africa"
BUMM,South-eastern Asia
