Column,Precision,Recall
availableCaribbean,0.2401826484018265,0.2231966053748232
availableMelanesia,0.23975346687211094,0.22388489208633094
availableSouthAmerica,0.47758255074219935,0.44345991561181436
availablePolynesia,0.23975346687211094,0.22388489208633094
availableWesternAfrica,0.24224924012158056,0.22635614882135757
availableNorthernEurope,0.5787674484854239,0.5476190476190477
availableCentralAmerica,0.3795230263157895,0.35506828236199267
availableEasternAsia,0.5328155764602932,0.5183569224220496
availableMiddleAfrica,0.24040528093337427,0.22435530085959884
availableWesternEurope,0.5756463719766473,0.5676453655728267
availableNorthernAfrica,0.2657826462957625,0.24501727345203295
availableAustraliaandNewZealand,0.42912371134020616,0.39669843430905377
availableSouthernAfrica,0.2966214418728385,0.27135556096373814
availableEasternEurope,0.5260451008835553,0.5053845179272773
availableNorthernAmerica,0.7573915730915834,0.7442802186677465
availableEasternAfrica,0.24128440366972478,0.2257510729613734
availableSouthernAsia,0.4702709483191169,0.4610181997048696
availableSouthernEurope,0.5571892304754631,0.5388237466531253
availableMicronesia,0.23975346687211094,0.22388489208633094
availableSouth-easternAsia,0.33562901744719925,0.3119931711481007
availableCentralAsia,0.24818181818181817,0.23096446700507614
availableWesternAsia,0.3527382492453644,0.34118873826903023
